edge_idx,depth,n_real_trials,gap_object_xy_cm,gap_object_theta_deg,gap_robot_xy_cm,gap_robot_theta_deg
1,2,3,2.3779,11.9938,1.6585,19.7266
1,6,3,9.3284,61.9744,2.7617,17.2531
1,9,3,13.4423,82.0697,6.5386,20.1107
15,2,3,0.4054,0.4748,2.4567,15.7062
15,6,3,0.4972,0.2399,1.8077,20.5823
15,9,3,1.3008,0.3917,2.1054,19.8843
45,2,3,0.3833,0.3571,1.8008,20.1609
45,6,3,2.6632,0.6550,1.5935,15.0255
45,9,3,4.7395,0.7709,3.2809,22.5810
59,2,3,10.8060,43.8758,1.3826,16.3516
59,6,3,27.4526,29.6660,7.2033,20.0270
