edge_idx,depth,trial_label,gap_object_xy_cm,gap_object_theta_deg,gap_robot_xy_cm,gap_robot_theta_deg,controller_setting_diff_push_controller_max_speed,controller_setting_diff_push_lookahead_distance_cm,controller_setting_diff_push_dynamic_direction,controller_setting_diff_push_path_length_cm
1,2,trial1,2.5438,13.2958,1.4270,21.0432,-0.34643,8.881784197001252e-16,0.0,0.2999644352317361
1,2,trial2,2.4213,11.9663,2.2096,16.1295,-0.34643,8.881784197001252e-16,0.0,0.2999644352317219
1,2,trial3,2.1685,10.7193,1.3391,22.0070,-0.34643,8.881784197001252e-16,0.0,0.299964435231729
1,6,trial1,9.0629,60.8828,2.5682,16.6047,-0.34643,8.881784197001252e-16,0.0,0.3000250569304086
1,6,trial2,8.6775,59.5751,3.1444,17.2567,-0.34643,8.881784197001252e-16,0.0,0.3000250569304157
1,6,trial3,10.2449,65.4653,2.5724,17.8980,-0.34643,8.881784197001252e-16,0.0,0.3000250569304157
1,9,trial1,14.2089,82.1136,6.4133,18.0170,-0.34643,8.881784197001252e-16,0.0,0.3000417956310599
1,9,trial2,12.7397,82.2055,5.3359,19.3651,-0.34643,8.881784197001252e-16,0.0,0.3000417956310599
1,9,trial3,13.3782,81.8900,7.8664,22.9500,-0.34643,8.881784197001252e-16,0.0,0.3000417956310528
15,2,trial1,0.1696,0.1162,0.8601,11.1633,-0.34643,8.881784197001252e-16,0.0,0.3000460343377469
15,2,trial2,0.5151,0.5093,3.1863,19.6223,-0.34643,8.881784197001252e-16,0.0,0.300046034337754
15,2,trial3,0.5313,0.7988,3.3236,16.3330,-0.34643,8.881784197001252e-16,0.0,0.3000460343377611
15,6,trial1,1.0093,0.1978,1.9917,19.9188,-0.34643,8.881784197001252e-16,0.0,0.3000084053220107
15,6,trial2,0.3953,0.0464,0.6408,24.4739,-0.34643,8.881784197001252e-16,0.0,0.30000840532200357
15,6,trial3,0.0871,0.4755,2.7907,17.3542,-0.34643,8.881784197001252e-16,0.0,0.30000840532200357
15,9,trial1,1.1905,0.0155,1.4914,14.7826,-0.34643,8.881784197001252e-16,0.0,0.3000209278190553
15,9,trial2,0.8129,0.5642,3.2622,20.9315,-0.34643,8.881784197001252e-16,0.0,0.3000209278190624
15,9,trial3,1.8990,0.5954,1.5625,23.9388,-0.34643,8.881784197001252e-16,0.0,0.3000209278190553
45,2,trial1,0.2751,0.3301,2.6513,19.6906,-0.34643,8.881784197001252e-16,0.0,0.29995182497997774
45,2,trial2,0.4300,0.2917,0.4607,22.4414,-0.34643,8.881784197001252e-16,0.0,0.29995182497998485
45,2,trial3,0.4448,0.4496,2.2906,18.3506,-0.34643,8.881784197001252e-16,0.0,0.29995182497998485
45,6,trial1,1.9587,0.2965,1.0906,18.5828,-0.34643,8.881784197001252e-16,0.0,0.2999892859472908
45,6,trial2,3.3936,0.6292,2.6134,10.2867,-0.34643,8.881784197001252e-16,0.0,0.2999892859472837
45,6,trial3,2.6373,1.0392,1.0764,16.2069,-0.34643,8.881784197001252e-16,0.0,0.2999892859472766
45,9,trial1,3.9336,0.5246,2.2216,20.5908,-0.34643,8.881784197001252e-16,0.0,0.2999525089460775
45,9,trial2,4.7792,0.6791,1.9897,19.2288,-0.34643,8.881784197001252e-16,0.0,0.2999525089460917
45,9,trial3,5.5058,1.1089,5.6315,27.9234,-0.34643,8.881784197001252e-16,0.0,0.2999525089460775
59,2,trial1,10.6389,42.9029,1.5568,16.0021,-0.34643,8.881784197001252e-16,0.0,0.30002717456260797
59,2,trial2,10.7974,47.3184,1.2451,16.3511,-0.34643,8.881784197001252e-16,0.0,0.30002717456259376
59,2,trial3,10.9817,41.4062,1.3460,16.7016,-0.34643,8.881784197001252e-16,0.0,0.30002717456260086
59,6,trial1,27.2630,30.5139,5.7720,17.7182,-0.34643,8.881784197001252e-16,0.0,0.2999735831836503
59,6,trial2,27.4951,29.5977,10.6490,23.4592,-0.34643,8.881784197001252e-16,0.0,0.2999735831836503
59,6,trial3,27.5997,28.8863,5.1888,18.9035,-0.34643,8.881784197001252e-16,0.0,0.2999735831836361
