build_id,tier,axis,item,marker_hint,centre_x_cm,centre_y_cm,long_axis_bearing_deg,long_cm,short_cm,height_cm,n_bricks,robot_start_x_cm,robot_start_y_cm,robot_start_bearing_deg,goal_x_cm,goal_y_cm,solve_rate,tried,push_kind,valid_1push,valid_first_push,n_contacts_reachable,n_contacts_cutoff,n_contacts_collision,angle_convention,tag_convention
hard_000,hard,hmax2,brick,wall_10,39.1,41.0,177.4,19.5,5.5,10.0,2,16.2,18.4,0.0,34.9,58.2,0.0067,150,needs_2_chain,0,1,30,6,24,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_000,hard,hmax2,brick,wall_11,13.7,51.7,74.7,19.5,5.5,10.0,2,16.2,18.4,0.0,34.9,58.2,0.0067,150,needs_2_chain,0,1,30,6,24,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_000,hard,hmax2,block,obj_1,21.5,36.4,137.0,15.0,7.0,4.0,2,16.2,18.4,0.0,34.9,58.2,0.0067,150,needs_2_chain,0,1,30,6,24,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_001,hard,hmax2,brick,wall_10,39.0,42.2,6.8,19.5,5.5,10.0,2,36.8,16.9,0.0,27.3,69.0,0.0067,150,needs_2_chain,0,1,30,1,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_001,hard,hmax2,brick,wall_11,13.5,50.5,76.8,19.5,5.5,10.0,2,36.8,16.9,0.0,27.3,69.0,0.0067,150,needs_2_chain,0,1,30,1,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_001,hard,hmax2,block,obj_4,22.8,37.6,135.2,12.0,7.5,5.0,2,36.8,16.9,0.0,27.3,69.0,0.0067,150,needs_2_chain,0,1,30,1,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_002,hard,hmax2,brick,wall_10,39.2,37.8,179.2,19.5,5.5,10.0,3,23.4,17.2,0.0,12.6,66.4,0.0211,95,needs_2_chain,0,2,20,8,32,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_002,hard,hmax2,brick,wall_11,13.6,49.6,73.0,19.5,5.5,10.0,3,23.4,17.2,0.0,12.6,66.4,0.0211,95,needs_2_chain,0,2,20,8,32,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_002,hard,hmax2,brick,wall_12,13.6,24.9,97.7,19.5,5.5,10.0,3,23.4,17.2,0.0,12.6,66.4,0.0211,95,needs_2_chain,0,2,20,8,32,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_002,hard,hmax2,block,obj_1,25.4,33.2,123.1,15.0,7.0,4.0,3,23.4,17.2,0.0,12.6,66.4,0.0211,95,needs_2_chain,0,2,20,8,32,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_003,hard,hmax2,brick,wall_10,39.1,40.5,176.3,19.5,5.5,10.0,3,26.3,27.2,0.0,39.1,69.4,0.0133,75,needs_2_chain,0,1,15,3,42,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_003,hard,hmax2,brick,wall_11,14.7,52.6,74.3,19.5,5.5,10.0,3,26.3,27.2,0.0,39.1,69.4,0.0133,75,needs_2_chain,0,1,15,3,42,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_003,hard,hmax2,brick,wall_12,14.7,27.6,109.8,19.5,5.5,10.0,3,26.3,27.2,0.0,39.1,69.4,0.0133,75,needs_2_chain,0,1,15,3,42,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_003,hard,hmax2,block,obj_4,21.2,39.2,127.7,12.0,7.5,5.0,3,26.3,27.2,0.0,39.1,69.4,0.0133,75,needs_2_chain,0,1,15,3,42,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_004,hard,hmax2,brick,wall_10,38.9,38.8,169.8,19.5,5.5,10.0,2,21.2,10.8,0.0,11.0,67.6,0.0067,150,needs_2_chain,0,1,30,4,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_004,hard,hmax2,brick,wall_11,14.0,49.2,74.7,19.5,5.5,10.0,2,21.2,10.8,0.0,11.0,67.6,0.0067,150,needs_2_chain,0,1,30,4,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_004,hard,hmax2,block,obj_1,23.0,34.2,136.5,15.0,7.0,4.0,2,21.2,10.8,0.0,11.0,67.6,0.0067,150,needs_2_chain,0,1,30,4,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_005,hard,hmax2,brick,wall_10,11.2,38.5,141.4,19.5,5.5,10.0,2,22.2,14.0,0.0,31.1,60.6,0.0067,150,needs_2_chain,0,1,30,2,28,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_005,hard,hmax2,brick,wall_11,38.1,37.4,133.5,19.5,5.5,10.0,2,22.2,14.0,0.0,31.1,60.6,0.0067,150,needs_2_chain,0,1,30,2,28,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_005,hard,hmax2,block,obj_4,27.0,28.8,50.2,12.0,7.5,5.0,2,22.2,14.0,0.0,31.1,60.6,0.0067,150,needs_2_chain,0,1,30,2,28,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_006,hard,hmax2,brick,wall_10,10.0,45.1,172.4,19.5,5.5,10.0,3,11.5,11.5,0.0,23.3,61.0,0.0167,60,needs_2_chain,0,1,12,5,43,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_006,hard,hmax2,brick,wall_11,35.2,55.7,94.6,19.5,5.5,10.0,3,11.5,11.5,0.0,23.3,61.0,0.0167,60,needs_2_chain,0,1,12,5,43,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_006,hard,hmax2,brick,wall_12,35.2,34.4,70.3,19.5,5.5,10.0,3,11.5,11.5,0.0,23.3,61.0,0.0167,60,needs_2_chain,0,1,12,5,43,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_006,hard,hmax2,block,obj_4,27.1,41.7,30.0,12.0,7.5,5.0,3,11.5,11.5,0.0,23.3,61.0,0.0167,60,needs_2_chain,0,1,12,5,43,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_007,hard,hmax2,brick,wall_10,39.0,46.7,173.5,19.5,5.5,10.0,2,26.6,29.7,0.0,40.4,60.5,0.0067,150,needs_2_chain,0,1,30,4,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_007,hard,hmax2,brick,wall_11,15.5,59.3,74.3,19.5,5.5,10.0,2,26.6,29.7,0.0,40.4,60.5,0.0067,150,needs_2_chain,0,1,30,4,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_007,hard,hmax2,block,obj_1,21.2,42.2,128.1,15.0,7.0,4.0,2,26.6,29.7,0.0,40.4,60.5,0.0067,150,needs_2_chain,0,1,30,4,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_008,hard,hmax2,brick,wall_10,39.0,37.9,171.6,19.5,5.5,10.0,2,20.7,19.2,0.0,23.1,64.9,0.0067,150,needs_2_chain,0,1,30,2,28,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_008,hard,hmax2,brick,wall_11,13.4,48.8,78.4,19.5,5.5,10.0,2,20.7,19.2,0.0,23.1,64.9,0.0067,150,needs_2_chain,0,1,30,2,28,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_008,hard,hmax2,block,obj_4,20.9,33.1,122.1,12.0,7.5,5.0,2,20.7,19.2,0.0,23.1,64.9,0.0067,150,needs_2_chain,0,1,30,2,28,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
hard_009,hard,hmax2,brick,wall_10,39.2,30.6,178.1,19.5,5.5,10.0,3,33.8,17.1,0.0,29.1,55.7,0.02,50,needs_2_chain,0,1,10,6,44,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
