axis,build_id,cell_order,arm,exec_mode
1push,hard_037,1,model,reactive
1push,hard_037,2,model,search
1push,hard_037,3,uniform,search
1push,hard_037,4,uniform,reactive
1push,hard_001,1,uniform,reactive
1push,hard_001,2,model,reactive
1push,hard_001,3,uniform,search
1push,hard_001,4,model,search
1push,hard_012,1,uniform,reactive
1push,hard_012,2,model,search
1push,hard_012,3,uniform,search
1push,hard_012,4,model,reactive
1push,hard_005,1,uniform,search
1push,hard_005,2,uniform,reactive
1push,hard_005,3,model,search
1push,hard_005,4,model,reactive
1push,hard_009,1,model,reactive
1push,hard_009,2,uniform,search
1push,hard_009,3,uniform,reactive
1push,hard_009,4,model,search
hmax2,hard_007,1,model,reactive
hmax2,hard_007,2,uniform,search
hmax2,hard_007,3,uniform,reactive
hmax2,hard_007,4,model,search
hmax2,hard_013,1,model,reactive
hmax2,hard_013,2,uniform,search
hmax2,hard_013,3,uniform,reactive
hmax2,hard_013,4,model,search
hmax2,hard_008,1,uniform,search
hmax2,hard_008,2,model,search
hmax2,hard_008,3,model,reactive
hmax2,hard_008,4,uniform,reactive
1push,med_085,1,uniform,reactive
1push,med_085,2,model,reactive
1push,med_085,3,uniform,search
1push,med_085,4,model,search
1push,med_077,1,model,reactive
1push,med_077,2,model,search
1push,med_077,3,uniform,search
1push,med_077,4,uniform,reactive
1push,med_093,1,model,reactive
1push,med_093,2,model,search
1push,med_093,3,uniform,reactive
1push,med_093,4,uniform,search
hmax2,med_069,1,model,search
hmax2,med_069,2,uniform,reactive
hmax2,med_069,3,uniform,search
hmax2,med_069,4,model,reactive
1push,easy_002,1,uniform,reactive
1push,easy_002,2,model,reactive
1push,easy_002,3,uniform,search
1push,easy_002,4,model,search
1push,easy_001,1,model,reactive
1push,easy_001,2,uniform,reactive
1push,easy_001,3,uniform,search
1push,easy_001,4,model,search
