build_id,tier,axis,item,marker_hint,centre_x_cm,centre_y_cm,long_axis_bearing_deg,long_cm,short_cm,height_cm,n_bricks,robot_start_x_cm,robot_start_y_cm,robot_start_bearing_deg,goal_x_cm,goal_y_cm,solve_rate,tried,push_kind,valid_1push,valid_first_push,n_contacts_reachable,n_contacts_cutoff,n_contacts_collision,angle_convention,tag_convention
easy_000,easy,hmax2,brick,wall_10,39.0,32.3,174.8,19.5,5.5,10.0,1,35.3,18.4,0.0,18.9,68.9,0.7143,140,one_push,71,29,28,19,13,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_000,easy,hmax2,block,obj_1,16.4,35.1,16.2,15.0,7.0,4.0,1,35.3,18.4,0.0,18.9,68.9,0.7143,140,one_push,71,29,28,19,13,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_001,easy,hmax2,brick,wall_10,38.9,38.6,10.9,19.5,5.5,10.0,1,13.8,16.9,0.0,9.7,53.0,0.7308,130,one_push,80,15,25,24,11,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_001,easy,hmax2,block,obj_4,14.4,40.2,17.5,12.0,7.5,5.0,1,13.8,16.9,0.0,9.7,53.0,0.7308,130,one_push,80,15,25,24,11,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_002,easy,hmax2,brick,wall_10,38.9,47.5,170.7,19.5,5.5,10.0,2,29.9,9.5,0.0,25.7,66.2,0.3,150,needs_2_chain,0,45,30,0,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_002,easy,hmax2,brick,wall_11,13.6,60.0,80.9,19.5,5.5,10.0,2,29.9,9.5,0.0,25.7,66.2,0.3,150,needs_2_chain,0,45,30,0,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_002,easy,hmax2,block,obj_1,19.1,44.9,40.2,15.0,7.0,4.0,2,29.9,9.5,0.0,25.7,66.2,0.3,150,needs_2_chain,0,45,30,0,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_003,easy,hmax2,brick,wall_10,38.9,46.9,11.7,19.5,5.5,10.0,2,35.0,27.3,0.0,23.4,64.2,0.3,20,one_push,3,3,4,25,31,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_003,easy,hmax2,brick,wall_11,12.9,53.2,102.3,19.5,5.5,10.0,2,35.0,27.3,0.0,23.4,64.2,0.3,20,one_push,3,3,4,25,31,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_003,easy,hmax2,block,obj_4,25.0,51.7,23.9,12.0,7.5,5.0,2,35.0,27.3,0.0,23.4,64.2,0.3,20,one_push,3,3,4,25,31,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,brick,wall_10,38.9,34.1,171.2,19.5,5.5,10.0,3,40.5,19.4,0.0,12.6,66.8,0.3,50,needs_2_chain,0,15,10,12,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,brick,wall_11,13.3,46.8,95.2,19.5,5.5,10.0,3,40.5,19.4,0.0,12.6,66.8,0.3,50,needs_2_chain,0,15,10,12,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,brick,wall_12,13.3,23.8,107.9,19.5,5.5,10.0,3,40.5,19.4,0.0,12.6,66.8,0.3,50,needs_2_chain,0,15,10,12,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,block,obj_1,21.4,32.4,83.7,15.0,7.0,4.0,3,40.5,19.4,0.0,12.6,66.8,0.3,50,needs_2_chain,0,15,10,12,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,brick,wall_10,39.1,30.9,177.3,19.5,5.5,10.0,3,28.2,14.6,0.0,40.9,46.5,0.3286,70,needs_2_chain,0,23,12,8,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,brick,wall_11,13.7,43.8,79.0,19.5,5.5,10.0,3,28.2,14.6,0.0,40.9,46.5,0.3286,70,needs_2_chain,0,23,12,8,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,brick,wall_12,13.7,20.6,109.2,19.5,5.5,10.0,3,28.2,14.6,0.0,40.9,46.5,0.3286,70,needs_2_chain,0,23,12,8,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,block,obj_4,22.7,26.0,1.0,12.0,7.5,5.0,3,28.2,14.6,0.0,40.9,46.5,0.3286,70,needs_2_chain,0,23,12,8,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_006,easy,hmax2,brick,wall_10,39.0,35.2,7.1,19.5,5.5,10.0,1,39.8,13.6,0.0,28.5,66.3,0.7259,135,one_push,83,15,26,23,11,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_006,easy,hmax2,block,obj_1,14.9,30.6,33.7,15.0,7.0,4.0,1,39.8,13.6,0.0,28.5,66.3,0.7259,135,one_push,83,15,26,23,11,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_007,easy,hmax2,brick,wall_10,39.1,40.3,176.8,19.5,5.5,10.0,1,32.2,11.7,0.0,8.8,63.4,0.7391,115,one_push,81,4,24,29,7,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_007,easy,hmax2,block,obj_4,13.0,37.3,34.1,12.0,7.5,5.0,1,32.2,11.7,0.0,8.8,63.4,0.7391,115,one_push,81,4,24,29,7,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_008,easy,hmax2,brick,wall_10,25.0,47.3,10.2,19.5,5.5,10.0,2,14.4,7.3,0.0,19.9,55.4,0.3077,130,needs_2_chain,0,40,26,14,20,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_008,easy,hmax2,brick,wall_11,34.1,35.7,156.8,19.5,5.5,10.0,2,14.4,7.3,0.0,19.9,55.4,0.3077,130,needs_2_chain,0,40,26,14,20,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_008,easy,hmax2,block,obj_1,12.6,39.6,118.7,15.0,7.0,4.0,2,14.4,7.3,0.0,19.9,55.4,0.3077,130,needs_2_chain,0,40,26,14,20,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_009,easy,hmax2,brick,wall_10,10.1,43.8,8.8,19.5,5.5,10.0,2,9.2,30.9,0.0,12.3,64.1,0.3,80,needs_2_chain,0,24,16,5,39,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_009,easy,hmax2,brick,wall_11,36.1,52.4,103.2,19.5,5.5,10.0,2,9.2,30.9,0.0,12.3,64.1,0.3,80,needs_2_chain,0,24,16,5,39,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_009,easy,hmax2,block,obj_4,26.7,46.5,62.8,12.0,7.5,5.0,2,9.2,30.9,0.0,12.3,64.1,0.3,80,needs_2_chain,0,24,16,5,39,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_010,easy,hmax2,brick,wall_10,38.9,37.1,170.2,19.5,5.5,10.0,3,7.2,14.8,0.0,13.2,69.2,0.3,50,one_push,1,14,9,12,39,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_010,easy,hmax2,brick,wall_11,13.2,49.0,76.1,19.5,5.5,10.0,3,7.2,14.8,0.0,13.2,69.2,0.3,50,one_push,1,14,9,12,39,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_010,easy,hmax2,brick,wall_12,13.2,25.4,106.9,19.5,5.5,10.0,3,7.2,14.8,0.0,13.2,69.2,0.3,50,one_push,1,14,9,12,39,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_010,easy,hmax2,block,obj_1,20.7,35.7,83.7,15.0,7.0,4.0,3,7.2,14.8,0.0,13.2,69.2,0.3,50,one_push,1,14,9,12,39,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_011,easy,hmax2,brick,wall_10,38.9,34.0,170.3,19.5,5.5,10.0,3,42.7,11.8,0.0,9.2,65.5,0.3333,60,one_push,3,17,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_011,easy,hmax2,brick,wall_11,13.0,45.1,93.7,19.5,5.5,10.0,3,42.7,11.8,0.0,9.2,65.5,0.3333,60,one_push,3,17,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_011,easy,hmax2,brick,wall_12,13.0,21.3,103.7,19.5,5.5,10.0,3,42.7,11.8,0.0,9.2,65.5,0.3333,60,one_push,3,17,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_011,easy,hmax2,block,obj_4,21.2,31.4,79.0,12.0,7.5,5.0,3,42.7,11.8,0.0,9.2,65.5,0.3333,60,one_push,3,17,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_012,easy,hmax2,brick,wall_10,39.0,43.9,7.8,19.5,5.5,10.0,1,37.4,10.2,0.0,21.1,70.5,0.7429,140,one_push,81,23,27,24,9,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_012,easy,hmax2,block,obj_1,16.3,46.1,18.2,15.0,7.0,4.0,1,37.4,10.2,0.0,21.1,70.5,0.7429,140,one_push,81,23,27,24,9,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_013,easy,hmax2,brick,wall_10,39.0,38.9,5.7,19.5,5.5,10.0,1,13.8,21.6,0.0,6.9,52.4,0.76,125,one_push,93,2,24,30,6,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_013,easy,hmax2,block,obj_4,13.7,43.7,26.0,12.0,7.5,5.0,1,13.8,21.6,0.0,6.9,52.4,0.76,125,one_push,93,2,24,30,6,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_014,easy,hmax2,brick,wall_10,10.5,42.7,29.0,19.5,5.5,10.0,2,27.9,17.3,0.0,42.2,65.4,0.3111,135,needs_2_chain,0,42,27,4,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_014,easy,hmax2,brick,wall_11,37.1,39.0,50.4,19.5,5.5,10.0,2,27.9,17.3,0.0,42.2,65.4,0.3111,135,needs_2_chain,0,42,27,4,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_014,easy,hmax2,block,obj_1,22.7,33.5,90.8,15.0,7.0,4.0,2,27.9,17.3,0.0,42.2,65.4,0.3111,135,needs_2_chain,0,42,27,4,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_015,easy,hmax2,brick,wall_10,9.8,41.4,0.3,19.5,5.5,10.0,2,41.3,12.5,0.0,12.8,64.9,0.3077,130,one_push,8,32,26,8,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_015,easy,hmax2,brick,wall_11,35.5,52.2,105.9,19.5,5.5,10.0,2,41.3,12.5,0.0,12.8,64.9,0.3077,130,one_push,8,32,26,8,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_015,easy,hmax2,block,obj_4,28.3,37.8,1.2,12.0,7.5,5.0,2,41.3,12.5,0.0,12.8,64.9,0.3077,130,one_push,8,32,26,8,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_016,easy,hmax2,brick,wall_10,9.8,30.9,0.9,19.5,5.5,10.0,3,15.7,10.2,0.0,12.3,60.8,0.3455,55,needs_2_chain,0,19,12,10,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_016,easy,hmax2,brick,wall_11,34.3,43.3,109.7,19.5,5.5,10.0,3,15.7,10.2,0.0,12.3,60.8,0.3455,55,needs_2_chain,0,19,12,10,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_016,easy,hmax2,brick,wall_12,34.3,22.3,78.7,19.5,5.5,10.0,3,15.7,10.2,0.0,12.3,60.8,0.3455,55,needs_2_chain,0,19,12,10,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_016,easy,hmax2,block,obj_1,27.1,26.8,87.0,15.0,7.0,4.0,3,15.7,10.2,0.0,12.3,60.8,0.3455,55,needs_2_chain,0,19,12,10,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_017,easy,hmax2,brick,wall_10,39.1,46.2,4.7,19.5,5.5,10.0,3,33.3,30.8,0.0,41.7,65.8,0.3333,75,needs_2_chain,0,25,15,5,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_017,easy,hmax2,brick,wall_11,13.4,57.8,77.7,19.5,5.5,10.0,3,33.3,30.8,0.0,41.7,65.8,0.3333,75,needs_2_chain,0,25,15,5,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_017,easy,hmax2,brick,wall_12,13.4,33.9,88.0,19.5,5.5,10.0,3,33.3,30.8,0.0,41.7,65.8,0.3333,75,needs_2_chain,0,25,15,5,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
