build_id,tier,axis,item,marker_hint,centre_x_cm,centre_y_cm,long_axis_bearing_deg,long_cm,short_cm,height_cm,n_bricks,robot_start_x_cm,robot_start_y_cm,robot_start_bearing_deg,goal_x_cm,goal_y_cm,solve_rate,tried,push_kind,valid_1push,valid_first_push,n_contacts_reachable,n_contacts_cutoff,n_contacts_collision,angle_convention,tag_convention
med_000,med,hmax2,brick,wall_10,11.3,35.3,136.7,19.5,5.5,10.0,2,25.6,16.6,0.0,42.0,65.6,0.05,120,needs_2_chain,0,6,24,2,34,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_000,med,hmax2,brick,wall_11,24.8,44.1,27.6,19.5,5.5,10.0,2,25.6,16.6,0.0,42.0,65.6,0.05,120,needs_2_chain,0,6,24,2,34,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_000,med,hmax2,block,obj_1,40.7,37.7,53.8,15.0,7.0,4.0,2,25.6,16.6,0.0,42.0,65.6,0.05,120,needs_2_chain,0,6,24,2,34,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_001,med,hmax2,brick,wall_10,24.0,50.0,174.5,19.5,5.5,10.0,2,41.7,20.4,0.0,8.4,63.2,0.05,120,needs_2_chain,0,6,24,3,33,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_001,med,hmax2,brick,wall_11,35.8,42.0,177.1,19.5,5.5,10.0,2,41.7,20.4,0.0,8.4,63.2,0.05,120,needs_2_chain,0,6,24,3,33,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_001,med,hmax2,block,obj_4,9.4,41.6,149.2,12.0,7.5,5.0,2,41.7,20.4,0.0,8.4,63.2,0.05,120,needs_2_chain,0,6,24,3,33,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,hmax2,brick,wall_10,39.0,41.4,6.7,19.5,5.5,10.0,3,31.7,6.8,0.0,38.4,66.0,0.0667,15,needs_2_chain,0,1,4,21,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,hmax2,brick,wall_11,13.1,52.2,72.8,19.5,5.5,10.0,3,31.7,6.8,0.0,38.4,66.0,0.0667,15,needs_2_chain,0,1,4,21,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,hmax2,brick,wall_12,13.1,30.5,97.4,19.5,5.5,10.0,3,31.7,6.8,0.0,38.4,66.0,0.0667,15,needs_2_chain,0,1,4,21,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,hmax2,block,obj_1,25.4,45.3,51.9,15.0,7.0,4.0,3,31.7,6.8,0.0,38.4,66.0,0.0667,15,needs_2_chain,0,1,4,21,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,hmax2,brick,wall_10,10.1,45.8,169.4,19.5,5.5,10.0,3,39.1,11.0,0.0,18.9,59.7,0.0571,70,needs_2_chain,0,4,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,hmax2,brick,wall_11,36.1,54.6,88.1,19.5,5.5,10.0,3,39.1,11.0,0.0,18.9,59.7,0.0571,70,needs_2_chain,0,4,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,hmax2,brick,wall_12,36.1,33.4,77.9,19.5,5.5,10.0,3,39.1,11.0,0.0,18.9,59.7,0.0571,70,needs_2_chain,0,4,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,hmax2,block,obj_4,26.2,42.3,164.4,12.0,7.5,5.0,3,39.1,11.0,0.0,18.9,59.7,0.0571,70,needs_2_chain,0,4,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_004,med,hmax2,brick,wall_10,39.2,39.2,1.6,19.5,5.5,10.0,2,25.4,10.8,0.0,29.5,63.9,0.0519,135,needs_2_chain,0,7,28,3,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_004,med,hmax2,brick,wall_11,13.9,48.8,73.7,19.5,5.5,10.0,2,25.4,10.8,0.0,29.5,63.9,0.0519,135,needs_2_chain,0,7,28,3,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_004,med,hmax2,block,obj_1,24.5,34.3,123.3,15.0,7.0,4.0,2,25.4,10.8,0.0,29.5,63.9,0.0519,135,needs_2_chain,0,7,28,3,29,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
