build_id,axis,tier,solve_rate,push_kind,best_corridor_cm,worst_corridor_cm,n_solutions_with_no_route,xml
easy_000,hmax2,easy,0.7143,one_push,15.78,9.44,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00159/env.xml
easy_001,hmax2,easy,0.7308,one_push,30.0,11.2,0,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00078/env.xml
easy_002,hmax2,easy,0.3,needs_2_chain,30.0,7.57,0,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_302/rb_00014/env.xml
easy_003,hmax2,easy,0.3,one_push,11.76,8.93,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00048/env.xml
easy_004,hmax2,easy,0.3,needs_2_chain,30.0,30.0,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00153/env.xml
easy_005,hmax2,easy,0.3286,needs_2_chain,30.0,14.14,0,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00016/env.xml
easy_006,hmax2,easy,0.7259,one_push,30.0,9.55,0,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_410/rb_00064/env.xml
easy_007,hmax2,easy,0.7391,one_push,16.35,11.59,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00085/env.xml
easy_008,hmax2,easy,0.3077,needs_2_chain,30.0,10.23,0,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_501/rb_00000/env.xml
easy_009,hmax2,easy,0.3,needs_2_chain,30.0,7.97,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00483/env.xml
easy_010,hmax2,easy,0.3,one_push,30.0,11.93,0,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00019/env.xml
easy_011,hmax2,easy,0.3333,one_push,30.0,30.0,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00068/env.xml
easy_012,hmax2,easy,0.7429,one_push,30.0,9.55,0,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_406/rb_00013/env.xml
easy_013,hmax2,easy,0.76,one_push,30.0,9.55,0,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00035/env.xml
easy_014,hmax2,easy,0.3111,needs_2_chain,30.0,10.06,0,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_620/rb_00017/env.xml
easy_015,hmax2,easy,0.3077,one_push,12.84,9.16,0,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_302/rb_00034/env.xml
easy_016,hmax2,easy,0.3455,needs_2_chain,10.97,8.76,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00052/env.xml
easy_017,hmax2,easy,0.3333,needs_2_chain,30.0,8.76,0,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00002/env.xml
easy_018,hmax2,easy,0.7556,one_push,30.0,10.97,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00192/env.xml
easy_019,hmax2,easy,0.775,one_push,26.38,11.2,0,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00052/env.xml
easy_020,hmax2,easy,0.312,needs_2_chain,30.0,9.84,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00217/env.xml
easy_021,hmax2,easy,0.3172,needs_2_chain,30.0,30.0,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00098/env.xml
easy_022,hmax2,easy,0.4,one_push,13.23,12.1,0,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00050/env.xml
easy_023,hmax2,easy,0.4,one_push,30.0,12.78,0,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00495/env.xml
