axis,build_id,edge,depth,offset_cm,offset_frac,face,xml
1push,hard_037,0,0,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,0,1,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,0,2,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,0,3,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,0,4,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,2,0,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,2,1,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,2,2,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,2,3,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,2,4,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,4,0,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,4,1,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,4,2,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,4,3,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,4,4,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,6,0,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,6,1,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,6,2,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,6,3,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,6,4,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,8,0,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,8,1,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,8,2,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,8,3,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,8,4,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,10,0,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,10,1,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,10,2,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,10,3,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,10,4,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,12,0,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,12,1,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,12,2,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,12,3,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,12,4,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,14,0,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,14,1,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,14,2,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,14,3,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,14,4,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,16,0,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,16,1,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,16,2,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,16,3,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,16,4,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,18,0,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,18,1,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,18,2,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,18,3,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,18,4,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,20,0,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,20,1,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,20,2,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,20,3,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,20,4,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,22,0,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,22,1,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,22,2,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,22,3,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,22,4,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,39,0,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,39,1,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,39,2,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,39,3,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,39,4,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,41,0,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,41,1,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,41,2,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,41,3,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,41,4,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,43,0,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,43,1,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,43,2,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,43,3,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,43,4,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,45,0,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,45,1,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,45,2,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,45,3,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,45,4,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,47,0,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,47,1,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,47,2,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,47,3,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,47,4,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,49,0,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,49,1,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,49,2,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,49,3,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,49,4,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,51,0,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,51,1,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,51,2,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,51,3,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,51,4,3.214,0.4286,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,53,0,4.286,0.5714,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,53,1,4.286,0.5714,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,53,2,4.286,0.5714,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,53,3,4.286,0.5714,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,53,4,4.286,0.5714,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
1push,hard_037,55,0,5.357,0.7143,short,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00017/env.xml
