trial_id,build_id,tier,axis,arm,exec_mode,started_at,ended_at,command,planner_outcome,failure_cause,user_verdict,notes,scene_checksum,log_path
easy_002_t1,easy_002,easy,1push,model,search,2026-08-23T01:46:58-04:00,,run_namo.py --algorithm full_namo --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --goal 18.5 68.7,FAILED_ENV no NAMO_SCRATCH,other,n/a,robot start 12.1cm off sheet start same region; scene MARGINAL 1/60 accepted,15/17/28 vs 16/16/28,real_trials/easy_002/trial1/run.log
easy_002_t2,easy_002,easy,1push,model,search,2026-08-23T01:52:57-04:00,,run_namo.py --algorithm full_namo --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --goal 18.5 68.7 env sourced,push ok + region goal reached,none,success (region semantics),"push landed on goal point as sim predicted (22 cm at 5 steps, not overshoot); runtime wedged on nav fail (bug); re-aimed (16.0 68.5) same region; radio blip during finish",15/17/28 vs 16/16/28,real_trials/easy_002/trial2/run.log
med_002_t1,med_002,med,1push,model,search,2026-08-23T02:06:07-04:00,,run_namo.py --algorithm full_namo --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --goal 28.1 69.1 env sourced,goal reached 0.9cm 1 push,none,success,wall_9 subbed for wall_12 (19.0cm checksum-verified); scene MARGINAL 2/60 accepted; robot start 10.7cm off same region; battery swap mid-run then resumed clean,,real_trials/med_002/trial1/run.log
hard_004_t1,hard_004,hard,1push,model,search,2026-08-23T02:17:16-04:00,,run_namo.py --algorithm full_namo --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --goal 28.0 63.9 env sourced,2 pushes + region goal reached,none,success (region semantics),"scene MARGINAL 1/60 accepted; solve_rate 0.01 tier floor; push2 fought deadband stall 55s; goal point inside inflation fringe post-push, re-aimed (29.5 63.0)",,real_trials/hard_004/trial1/run.log
rb_00149_model_r1,rb_00149,medium,hmax2,model,search,2026-08-31T06:01:15-04:00,2026-08-31T06:06:53-04:00,run_namo.py --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --shuffle-seed 1 --hold-region-target --goal 18.0 71.2,no subgoal after push 1; region target exhausted at 900 sims,planning_failed,fail,sheet_version=v3_b2 derived; push1 obj_1 4.7cm +13.1deg ok; reuse verify failed from rotated state; serial write timeouts during search; battery kept per operator,derived sheet all items OK,real_exp/results/formal_v2/rb_00149/model_r1/run.log
hard_005_model_r1,hard_005,hard,hmax2,model,search,2026-08-31T11:04:50-04:00,2026-08-31T11:07:51-04:00,run_namo.py --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --shuffle-seed 1 --hold-region-target --goal 31.1 60.6,plan #1 exhausted 900 sims with zero pushes; all_pushes_failed,planning_failed,fail,sheet_version=v2; robot start 1.6cm off sheet at launch (within band no-gate rule); scene n_green 1/150 so start placement plausibly decisive; two earlier same-build searches found a chain (battery false starts); fresh battery run 1 of 3; checksum MARGINAL 1/60 accepted,30/3/27 vs 30/2/28 MARGINAL 1/60,real_exp/results/formal_v2/hard_005/model_r1/run.log
hard_005_model_r2,hard_005,hard,hmax2,model,search,2026-08-31T11:14:54-04:00,2026-08-31T11:17:13-04:00,run_namo.py --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --shuffle-seed 2 --hold-region-target --goal 31.1 60.6,6 pushes: 2 effective then 3 corner-whiffs on the rotated face (edges 50/52/54); operator kill,other,fail,sheet_version=v2; robot start 0.16cm off after re-center; push1 clean 4.8cm; push3 pivoted obj_4 -25.6deg and every later aim missed the rotated face by ~one contact width; POST_ROTATING stable-hold stalled twice at <2.1deg err; drivetrain fixed pre-run (hands, cause TBD); fresh battery run 2 of 3,30/3/27 vs 30/2/28 MARGINAL 1/60,real_exp/results/formal_v2/hard_005/model_r2/run.log
med_077_model_r1,med_077,med,hmax2,model,search,2026-08-31T11:32:03-04:00,2026-08-31T11:32:55-04:00,run_namo.py --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --shuffle-seed 1 --hold-region-target --goal 29.8 64.0,GOAL REACHED 1.0cm in 52.4s; 3 pushes + navigate; 6 plans 6.4s cumulative,none,success,sheet_version=v2; first completed trial of the formal_v2 design; pushes 8.9cm/10.9cm(-33deg)/25.3cm all on obj_4; resolver held through 3 replans; stable-hold stall once (benign); battery run 4 kept per operator,23/7/30 exact PASS then MARGINAL 1/60 on reset,real_exp/results/formal_v2/med_077/model_r1/run.log
med_077_uniform_r2,med_077,med,hmax2,uniform,search,2026-08-31T11:34:21-04:00,2026-08-31T11:36:22-04:00,run_namo.py --local-search best_first --best-first-prior uniform --shuffle-seed 2 --hold-region-target --goal 29.8 64.0,GOAL REACHED 1.4cm in 121.2s; 2 pushes + navigate; 4 plans 94.1s cumulative 701 sims,none,success,sheet_version=v2; paired with med_077_model_r1 (model: 52.4s 6.4s-plan 26+0 sims 3 pushes); uniform matched the outcome at 15x planning compute; reset checksum exact PASS; battery run 5 kept per operator,23/7/30 exact PASS,real_exp/results/formal_v2/med_077/uniform_r2/run.log
med_077_policy2_r3,med_077,med,hmax2,policy2,reactive,2026-08-31T11:38:05-04:00,2026-08-31T11:38:38-04:00,run_namo.py --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --shuffle-seed 3 --hold-region-target --exec-mode reactive --goal 29.8 64.0,GOAL REACHED 1.1cm in 32.8s; 2 pushes + navigate; 3 plans 239ms cumulative 1 sim,none,success,sheet_version=v2; completes the first three-arm scene (model 52.4s/26 sims; uniform 121.2s/701 sims; policy2 32.8s/1 sim); pushes 21.5cm(-33deg) and 25.5cm straight both landed unverified; reset MARGINAL 1/60 accepted; battery run 6 kept per operator,23/7/30 vs 24/7/29 MARGINAL 1/60,real_exp/results/formal_v2/med_077/policy2_r3/run.log
med_079_model_r1,med_079,med,hmax2,model,search,2026-08-31T11:46:25-04:00,2026-08-31T11:48:52-04:00,run_namo.py --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --shuffle-seed 1 --hold-region-target --goal 7.5 62.6,3 effective pushes then 4 consecutive corner-whiffs on the rotated face (edges 53/51/55/57); operator kill,other,fail,sheet_version=v2; SECOND instance of aim-miss-after-rotation (first: hard_005_model_r2); trigger push3 rotated obj_4 -13.4deg; whiffs 0.06/0.05/0.12/0.01cm; summary is a crash stub (SIGKILL beat the writer) so this row is authoritative; battery run 8 kept,30/4/26 vs 30/3/27 MARGINAL 1/60,real_exp/results/formal_v2/med_079/model_r1/run.log
med_079_policy2_r2,med_079,med,hmax2,policy2,reactive,2026-08-31T11:50:40-04:00,2026-08-31T11:51:25-04:00,run_namo.py --local-search best_first --best-first-prior model --scorer-ckpt HY5U_s2.ckpt --shuffle-seed 2 --hold-region-target --exec-mode reactive --goal 7.5 62.6,GOAL REACHED 1.1cm in 44.5s; 2 pushes + navigate; 3 plans 301ms 1 sim,none,success,sheet_version=v2; HEADLINE PAIR: reactive succeeded on the exact build where model-as-search died to 4 aim-whiffs (med_079_model_r1); push2 24.2cm at 0.1deg; fresh-pose aim each look vs chain-derived aim is the difference; battery run 9 kept,30/2/28 vs 30/3/27 MARGINAL 1/60,real_exp/results/formal_v2/med_079/policy2_r2/run.log
med_079_uniform_r3,med_079,med,hmax2,uniform,search,2026-08-31T11:53:17-04:00,2026-08-31T11:55:05-04:00,run_namo.py --local-search best_first --best-first-prior uniform --shuffle-seed 3 --hold-region-target --goal 7.5 62.6,plan #1 exhausted 900 sims with zero pushes; all_pushes_failed,planning_failed,fail,sheet_version=v2; completes the med_079 three-way: uniform 0 pushes/900 sims fail vs model-search 21-sim find but aim-whiff fail vs policy2 success 44.5s/1 sim; robot never moved; battery run 10 kept,30/2/28 vs 30/3/27 MARGINAL 1/60,real_exp/results/formal_v2/med_079/uniform_r3/run.log
med_079_uniform_r4,med_079,med,hmax2,uniform,search,2026-08-31T11:55:51-04:00,2026-08-31T11:57:39-04:00,run_namo.py --local-search best_first --best-first-prior uniform --shuffle-seed 4 --hold-region-target --goal 7.5 62.6,plan #1 exhausted 900 sims with zero pushes; all_pushes_failed,planning_failed,fail,sheet_version=v2; seed-4 replicate of uniform_r3 (seed 3): identical exhaustion so med_079 is closed to random ordering within budget across two seeds; robot never moved so no reset was needed between r3 and r4; battery run 11 kept,unchanged from r3 build,real_exp/results/formal_v2/med_079/uniform_r4/run.log
